filename, language, Markdown, YAML, XML, Ignore, reStructuredText, Lua, Shell Script, Groovy, CMake, Python, C++, C, XSL, Batch, Msg, HTML, Protocol Buffers, JSON, comment, blank, total
cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 18, 6, 46
cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 15, 8, 46
cartographer/cartographer/cloud/internal/handlers/add_rangefinder_data_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 15, 8, 77
cartographer/cartographer/cloud/internal/handlers/add_sensor_data_batch_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 16, 11, 163
cartographer/cartographer/cloud/internal/handlers/add_sensor_data_batch_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 16, 14, 72
cartographer/cartographer/cloud/internal/handlers/add_sensor_data_handler_base.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 15, 10, 62
cartographer/cartographer/cloud/internal/handlers/add_trajectory_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 21, 11, 82
cartographer/cartographer/cloud/internal/handlers/add_trajectory_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 15, 8, 43
cartographer/cartographer/cloud/internal/handlers/add_trajectory_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 16, 11, 148
cartographer/cartographer/cloud/internal/handlers/delete_trajectory_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 16, 6, 49
cartographer/cartographer/cloud/internal/handlers/delete_trajectory_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
cartographer/cartographer/cloud/internal/handlers/finish_trajectory_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 15, 6, 59
cartographer/cartographer/cloud/internal/handlers/finish_trajectory_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
cartographer/cartographer/cloud/internal/handlers/get_all_submap_poses.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 15, 6, 50
cartographer/cartographer/cloud/internal/handlers/get_all_submap_poses.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
cartographer/cartographer/cloud/internal/handlers/get_constraints_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 15, 6, 46
cartographer/cartographer/cloud/internal/handlers/get_constraints_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
cartographer/cartographer/cloud/internal/handlers/get_landmark_poses_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 15, 6, 48
cartographer/cartographer/cloud/internal/handlers/get_landmark_poses_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
cartographer/cartographer/cloud/internal/handlers/get_landmark_poses_handler_test.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 15, 9, 84
cartographer/cartographer/cloud/internal/handlers/get_local_to_global_transform_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 15, 6, 44
cartographer/cartographer/cloud/internal/handlers/get_local_to_global_transform_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 15, 8, 45
cartographer/cartographer/cloud/internal/handlers/get_submap_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 6, 42
cartographer/cartographer/cloud/internal/handlers/get_submap_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 15, 8, 42
cartographer/cartographer/cloud/internal/handlers/get_trajectory_node_poses_handler.cc, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 15, 6, 57
cartographer/cartographer/cloud/internal/handlers/get_trajectory_node_poses_handler.h, C++, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 15, 8, 44
